"DTI_CL_INDICADOR","Indicator","DTI_CL_TRIMESTRE_MOVIL","Mobile Quarter","DTI_CL_REGION","Region","DTI_CL_SEXO","Sex","Value","Flag Codes","Flags"
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL06","Region of Libertador Gral. Bernardo O'Higgins","_T","Total",382.839444749671,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL06","Region of Libertador Gral. Bernardo O'Higgins","M","Male",243.565311483619,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL06","Region of Libertador Gral. Bernardo O'Higgins","F","Female",139.27413326605,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL07","Region of Maule","_T","Total",411.962358509282,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL07","Region of Maule","M","Male",263.425199344061,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL07","Region of Maule","F","Female",148.53715916522,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL16","Region of Ñuble","_T","Total",179.87582666401,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL16","Region of Ñuble","M","Male",115.2854614678,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL16","Region of Ñuble","F","Female",64.59036519621,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL08","Region of Biobío","_T","Total",649.78753643115,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL08","Region of Biobío","M","Male",411.060294524421,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL08","Region of Biobío","F","Female",238.72724190673,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL09","Region of La Araucanía","_T","Total",420.637034774962,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL09","Region of La Araucanía","M","Male",260.4983490534,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL09","Region of La Araucanía","F","Female",160.13868572156,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL14","Region of Los Ríos","_T","Total",154.47569390524,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL14","Region of Los Ríos","M","Male",94.8298005808898,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL14","Region of Los Ríos","F","Female",59.6458933243499,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL10","Region of Los Lagos","_T","Total",366.93800682574,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL10","Region of Los Lagos","M","Male",232.63140374786,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL10","Region of Los Lagos","F","Female",134.30660307788,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","_T","Total",48.48042636605,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","M","Male",31.16120745224,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL11","Region of Aysén del Gral. Carlos Ibáñez del Campo","F","Female",17.31921891381,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL12","Region of Magallanes y La Antártica Chilena","_T","Total",70.33996882705,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL12","Region of Magallanes y La Antártica Chilena","M","Male",47.5973476155299,,
"ENE_FDT","Labour force (2002-based projections)","2010-V03","2010 feb-apr","CHL12","Region of Magallanes y La Antártica Chilena","F","Female",22.74262121152,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","_T","Nationwide total","_T","Total",7646.67805234043,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","_T","Nationwide total","M","Male",4651.63096086644,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","_T","Nationwide total","F","Female",2995.04709147387,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL15","Region of Arica y Parinacota","_T","Total",87.0865324384999,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL15","Region of Arica y Parinacota","M","Male",48.8817351712699,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL15","Region of Arica y Parinacota","F","Female",38.2047972672299,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL01","Region of Tarapacá","_T","Total",157.09902160638,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL01","Region of Tarapacá","M","Male",94.2819286135901,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL01","Region of Tarapacá","F","Female",62.81709299279,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL02","Region of Antofagasta","_T","Total",269.654276088001,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL02","Region of Antofagasta","M","Male",173.862899619031,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL02","Region of Antofagasta","F","Female",95.79137646897,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL03","Region of Atacama","_T","Total",126.70668739954,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL03","Region of Atacama","M","Male",81.93176968391,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL03","Region of Atacama","F","Female",44.77491771563,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL04","Region of Coquimbo","_T","Total",301.09577111519,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL04","Region of Coquimbo","M","Male",190.15746666031,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL04","Region of Coquimbo","F","Female",110.93830445488,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL05","Region of Valparaíso","_T","Total",782.496794013923,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL05","Region of Valparaíso","M","Male",471.816534578076,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL05","Region of Valparaíso","F","Female",310.68025943585,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL13","Region Metropolitana de Santiago","_T","Total",3251.57675041532,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL13","Region Metropolitana de Santiago","M","Male",1898.5596598158,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL13","Region Metropolitana de Santiago","F","Female",1353.01709059952,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL06","Region of Libertador Gral. Bernardo O'Higgins","_T","Total",377.51865617221,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL06","Region of Libertador Gral. Bernardo O'Higgins","M","Male",242.92806593602,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL06","Region of Libertador Gral. Bernardo O'Higgins","F","Female",134.59059023619,,
"ENE_FDT","Labour force (2002-based projections)","2010-V04","2010 mar-may","CHL07","Region of Maule","_T","Total",399.10638532226,,
