"DTI_CL_INDICADOR","Indicator","DTI_CL_TRIMESTRE_MOVIL","Mobile trimester","DTI_CL_REGION","Region","DTI_CL_SEXO","Sex","Value","Flag Codes","Flags"
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL01","Region of Tarapacá","F","Female",47.3293183435814,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL02","Region of Antofagasta","_T","Total",57.7654141727568,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL02","Region of Antofagasta","M","Male",69.5466187668871,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL02","Region of Antofagasta","F","Female",44.79860702018,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL03","Region of Atacama","_T","Total",57.0225342216874,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL03","Region of Atacama","M","Male",68.7579773920363,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL03","Region of Atacama","F","Female",44.7856835454781,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL04","Region of Coquimbo","_T","Total",54.5084468413497,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL04","Region of Coquimbo","M","Male",65.2307962561993,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL04","Region of Coquimbo","F","Female",44.1337878210978,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL05","Region of Valparaíso","_T","Total",52.9211259623177,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL05","Region of Valparaíso","M","Male",63.5546137090141,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL05","Region of Valparaíso","F","Female",42.7595497155681,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL13","Region Metropolitana de Santiago","_T","Total",57.3921178690146,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL13","Region Metropolitana de Santiago","M","Male",66.9913138032882,,
"ENE_TO","Employment rate (2002-based projections)","2018-V07","2018 jun-aug","CHL13","Region Metropolitana de Santiago","F","Female",48.4330171162888,,
